"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"43","Quincy Carter (FA)","35","58","60.3","498","8.6","3","1","12","12","20","0","0","6","31.8","5.3","0.0%"
"44","Rich Gannon (FA)","41","68","60.3","524","7.7","3","2","5","5","26","0","1","3","31.6","10.5","0.0%"
"45","Doug Flutie (FA)","20","38","52.6","276","7.3","1","0","1","5","39","2","0","2","31.0","15.5","0.0%"
"46","Luke McCown (FA)","48","98","49.0","608","6.2","4","7","12","6","25","0","0","5","30.8","6.2","0.0%"
"47","Craig Nall (FA)","23","33","69.7","314","9.5","4","0","2","3","7","0","0","5","29.3","5.9","0.0%"
"48","Rex Grossman (FA)","47","84","56.0","607","7.2","1","3","5","11","48","1","2","3","29.1","9.7","0.0%"
"49","Craig Krenzel (FA)","59","127","46.5","718","5.7","3","6","23","18","41","0","6","6","22.8","3.8","0.0%"
"50","Jonathan Quinn (FA)","51","98","52.0","413","4.2","1","3","15","3","35","0","0","5","18.0","3.6","0.0%"
"51","Shaun King (FA)","47","84","56.0","502","6.0","1","4","6","9","30","0","1","3","17.1","5.7","0.0%"
"52","Jim Sorgi (FA)","17","29","58.6","175","6.0","2","0","1","8","-5","0","0","4","14.5","3.6","0.0%"
"53","Chris Simms (FA)","42","73","57.5","467","6.4","1","3","10","7","14","0","2","5","14.1","2.8","0.0%"
"54","Trent Dilfer (FA)","25","58","43.1","333","5.7","1","3","4","10","14","0","0","4","12.7","3.2","0.0%"
"55","Matt Schaub (FA)","33","70","47.1","330","4.7","1","4","4","8","26","0","0","6","11.8","2.0","0.0%"
"56","Tommy Maddox (FA)","30","60","50.0","329","5.5","1","2","6","9","15","0","2","4","10.7","2.7","0.0%"
"57","Sage Rosenfels (FA)","16","39","41.0","264","6.8","1","3","3","0","0","0","0","2","8.6","4.3","0.0%"
"58","Chris Chandler (FA)","35","62","56.5","463","7.5","2","8","7","1","2","0","1","3","8.6","2.9","0.0%"
"59","Jamie Martin (FA)","16","30","53.3","188","6.3","0","0","2","0","0","0","0","1","7.5","7.5","0.0%"
"60","Jeff Blake (FA)","18","37","48.6","126","3.4","1","1","2","3","6","0","1","3","5.6","1.9","0.0%"
"61","Shane Matthews (FA)","2","3","66.7","44","14.7","1","0","0","2","-3","0","0","2","5.5","2.8","0.0%"
"62","Philip Rivers (FA)","5","8","62.5","33","4.1","1","0","1","4","-5","0","0","2","4.8","2.4","20.6%"
"63","Drew Henson (FA)","10","18","55.6","78","4.3","1","1","2","1","7","0","1","2","3.8","1.9","0.0%"
"64","Mike McMahon (FA)","11","15","73.3","77","5.1","0","1","1","2","18","0","0","1","2.9","2.9","0.0%"
"65","John Navarre (FA)","18","40","45.0","168","4.2","1","4","1","0","0","0","0","1","2.7","2.7","0.0%"
"66","Brooks Bollinger (FA)","5","9","55.6","60","6.7","0","0","1","1","2","0","0","1","2.6","2.6","0.0%"
"67","Doug Johnson (FA)","6","12","50.0","68","5.7","0","0","1","2","-2","0","0","2","2.5","1.3","0.0%"
"68","Doug Pederson (FA)","11","23","47.8","120","5.2","0","2","0","2","15","0","0","2","2.3","1.2","0.0%"
"69","Todd Collins (FA)","1","5","20.0","42","8.4","0","0","0","1","4","0","0","2","2.1","1.1","0.0%"
"70","Rohan Davey (FA)","4","10","40.0","54","5.4","0","0","0","4","-1","0","0","4","2.1","0.5","0.0%"
"71","Koy Detmer (FA)","18","40","45.0","207","5.2","0","2","2","10","-7","0","1","5","1.6","0.3","0.0%"
"72","Tony Banks (FA)","1","2","50.0","16","8.0","0","0","0","0","0","0","0","2","0.6","0.3","0.0%"
"73","Rodney Peete (FA)","1","1","100.0","3","3.0","0","0","0","1","-1","0","0","1","0.0","0.0","0.0%"
"74","Gus Frerotte (FA)","0","1","0.0","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"75","Terrell Buckley (FA)","0","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"76","Tony Romo (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"77","Kordell Stewart (FA)","0","0","0","0","0","0","0","0","1","-1","0","0","2","-0.1","-0.1","0.0%"
"78","J.T. O'Sullivan (FA)","0","0","0","0","0","0","0","0","2","-2","0","0","1","-0.2","-0.2","0.0%"
"79","Brian St. Pierre (FA)","0","1","0.0","0","0.0","0","0","0","4","-3","0","0","1","-0.3","-0.3","0.0%"
"80","J.P. Losman (FA)","3","5","60.0","32","6.4","0","1","1","2","15","0","1","3","-1.2","-0.4","0.0%"
"81","Cody Pickett (FA)","4","10","40.0","55","5.5","0","2","2","1","5","0","0","1","-1.3","-1.3","0.0%"
""
""
