"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"20","Jon Kitna (FA)","294","473","62.2","3,178","6.7","16","16","24","24","57","4","6","13","176.7","13.6","0.0%"
"21","Brian Griese (FA)","291","436","66.7","3,214","7.4","15","15","34","37","107","1","0","13","175.2","13.5","0.0%"
"22","Tommy Maddox (FA)","234","377","62.1","2,836","7.5","20","16","26","19","43","0","3","12","165.8","13.8","0.0%"
"23","Tim Couch (FA)","273","443","61.6","2,842","6.4","18","18","30","23","77","0","2","14","155.4","11.1","0.0%"
"24","David Carr (FA)","233","444","52.5","2,592","5.8","9","15","76","59","282","3","7","16","146.0","9.1","0.0%"
"25","Jay Fiedler (FA)","179","292","61.3","2,024","6.9","14","9","13","28","99","3","1","11","144.9","13.2","0.0%"
"26","Rodney Peete (FA)","223","381","58.5","2,630","6.9","15","14","31","22","14","0","7","14","124.7","8.9","0.0%"
"27","Jeff Blake (FA)","165","295","55.9","2,084","7.1","13","11","30","39","106","1","4","10","123.9","12.4","0.0%"
"28","Marc Bulger (FA)","138","214","64.5","1,826","8.5","14","6","12","12","-13","1","2","7","119.0","17.0","0.0%"
"29","Jim Miller (FA)","180","314","57.3","1,944","6.2","13","9","16","13","11","0","2","10","108.8","10.9","0.0%"
"30","Joey Harrington (FA)","215","429","50.1","2,294","5.3","12","16","8","7","4","0","1","14","106.2","7.6","0.0%"
"31","Kordell Stewart (FA)","109","166","65.7","1,155","7.0","6","6","7","43","191","2","2","7","87.3","12.5","0.0%"
"32","Shane Matthews (FA)","124","237","52.3","1,251","5.3","11","6","9","12","31","0","0","7","84.9","12.1","0.0%"
"33","Patrick Ramsey (FA)","117","227","51.5","1,539","6.8","9","8","18","13","-1","1","5","9","79.5","8.8","0.0%"
"34","Mike McMahon (FA)","62","147","42.2","874","5.9","7","9","12","14","96","3","1","8","74.3","9.3","0.0%"
"35","Quincy Carter (FA)","125","221","56.6","1,465","6.6","7","8","19","27","91","0","3","7","73.7","10.5","0.0%"
"36","Chad Hutchinson (FA)","127","250","50.8","1,555","6.2","7","8","34","18","74","0","8","9","65.5","7.3","0.0%"
"37","Ray Lucas (FA)","92","160","57.5","1,045","6.5","4","6","12","36","126","2","4","7","62.4","8.9","0.0%"
"38","Chris Redman (FA)","97","182","53.3","1,034","5.7","7","3","11","10","8","0","2","6","60.1","10.0","0.0%"
"39","Steve Beuerlein (FA)","68","117","58.1","925","7.9","6","5","12","5","9","1","1","5","55.9","11.2","0.0%"
"40","Kelly Holcomb (FA)","64","106","60.4","790","7.5","8","4","5","8","9","0","1","4","54.4","13.6","0.0%"
"41","Jamie Martin (FA)","124","195","63.6","1,216","6.2","7","10","10","5","6","0","2","5","53.3","10.7","0.0%"
"42","A.J. Feeley (FA)","86","154","55.8","1,011","6.6","6","5","7","12","6","0","1","6","53.0","8.8","0.0%"
"43","Trent Dilfer (FA)","94","168","56.0","1,182","7.0","4","6","7","10","27","0","1","6","52.0","8.7","0.0%"
"44","Kurt Warner (FA)","144","220","65.5","1,431","6.5","3","11","21","8","33","0","2","7","46.4","6.6","0.0%"
"45","Chris Chandler (FA)","103","161","64.0","1,023","6.4","4","4","23","10","32","0","3","9","46.0","5.1","0.0%"
"46","Danny Wuerffel (FA)","58","92","63.0","719","7.8","3","6","11","10","76","0","1","7","34.4","4.9","0.0%"
"47","David Garrard (FA)","23","46","50.0","231","5.0","1","2","7","25","139","2","1","4","33.1","8.3","0.0%"
"48","Doug Johnson (FA)","37","57","64.9","448","7.9","2","3","3","8","16","1","0","6","27.5","4.6","0.0%"
"49","Vinny Testaverde (FA)","54","83","65.1","499","6.0","3","3","9","2","23","0","2","5","26.3","5.3","0.0%"
"50","Rob Johnson (FA)","57","88","64.8","536","6.1","1","2","19","14","73","0","2","6","24.8","4.1","0.0%"
"51","Koy Detmer (FA)","19","28","67.9","224","8.0","2","0","1","2","4","1","0","2","23.4","11.7","0.0%"
"52","Tim Rattay (FA)","26","43","60.5","232","5.4","2","0","5","5","0","0","0","4","17.2","4.3","0.0%"
"53","Henry Burris (FA)","18","51","35.3","207","4.1","3","5","4","15","104","0","2","6","16.6","2.8","0.0%"
"54","Gus Frerotte (FA)","44","85","51.8","437","5.1","1","5","10","4","22","0","0","3","13.7","4.6","0.0%"
"55","Doug Pederson (FA)","19","28","67.9","134","4.8","1","0","1","1","-1","0","0","4","9.2","2.3","0.0%"
"56","Randy Fasani (FA)","15","44","34.1","171","3.9","0","4","7","18","95","0","0","4","8.3","2.1","0.0%"
"57","Todd Collins (FA)","5","6","83.3","73","12.2","1","0","0","1","7","0","0","2","7.6","3.8","0.0%"
"58","Jake Delhomme (FA)","8","10","80.0","113","11.3","0","0","0","4","-2","0","0","3","4.3","1.4","0.0%"
"59","Shaun King (FA)","10","27","37.0","80","3.0","0","1","1","4","25","0","0","3","3.7","1.2","0.0%"
"60","Cory Sauter (FA)","6","9","66.7","59","6.6","0","0","0","2","8","0","0","1","3.2","3.2","0.0%"
"61","Doug Flutie (FA)","3","11","27.3","64","5.8","0","0","0","1","6","0","0","1","3.2","3.2","0.0%"
"62","Todd Bouman (FA)","3","6","50.0","85","14.2","0","0","2","1","9","0","1","1","2.3","2.3","0.0%"
"63","Tory Woodbury (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"64","Chris Weinke (FA)","17","38","44.7","180","4.7","0","3","6","5","9","0","0","6","2.1","0.4","0.0%"
"65","Akili Smith (FA)","12","33","36.4","117","3.5","0","1","3","4","5","0","1","1","1.2","1.2","0.0%"
"66","Jesse Palmer (FA)","3","4","75.0","30","7.5","0","0","0","1","-3","0","0","1","0.9","0.9","0.0%"
"67","Neil O'Donnell (FA)","3","5","60.0","24","4.8","0","0","0","3","-3","0","0","2","0.6","0.3","0.0%"
"68","Damon Huard (FA)","0","0","0","0","0","0","0","0","1","4","0","0","1","0.4","0.4","0.0%"
"69","Scott Covington (FA)","2","5","40.0","7","1.4","0","0","2","0","0","0","0","1","0.3","0.3","0.0%"
"70","Alex Van Pelt (FA)","2","2","100.0","5","2.5","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"71","D'Wayne Bates (FA)","0","0","0","0","0","0","0","0","0","0","0","1","14","0.0","0.0","0.0%"
"72","Jonathan Quinn (FA)","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","0.0%"
"73","Marques Tuiasosopo (FA)","0","0","0","0","0","0","0","0","2","-3","0","0","1","-0.3","-0.3","0.0%"
"74","Rohan Davey (FA)","1","2","50.0","3","1.5","0","0","0","2","-4","0","0","2","-0.3","-0.2","0.0%"
"75","Sage Rosenfels (FA)","0","3","0.0","0","0.0","0","0","0","2","-9","0","0","2","-0.9","-0.5","0.0%"
"76","Josh McCown (FA)","7","18","38.9","66","3.7","0","2","5","1","20","0","1","2","-1.4","-0.7","0.0%"
"77","Terrell Buckley (FA)","0","0","0","0","0","0","0","0","0","0","0","1","13","-2.0","-0.2","0.0%"
""
""
