Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
140,Wallace Wright (FA),1,0,11,11,11,0,0,0,0,0,0,6,2.1,0.4,0.00%
141,Devard Darling (FA),1,0,10,10,10,0,0,0,0,0,0,3,2,0.7,0.00%
142,Dwayne Jarrett (FA),1,0,6,6,6,0,0,0,0,0,0,1,1.6,1.6,0.00%
143,Jason Hill (FA),1,0,6,6,6,0,0,0,0,0,0,1,1.6,1.6,0.00%
144,Marcus Maxwell (FA),1,0,5,5,5,0,0,0,0,0,0,1,1.5,1.5,0.00%
145,Travis Taylor (FA),1,0,4,4,4,0,0,0,0,0,0,1,1.4,1.4,0.00%
146,Steve Breaston (FA),0,1,0,0,0,0,0,1,10,0,0,8,1,0.1,0.00%
147,Domenik Hixon (FA),1,0,5,5,5,0,0,1,-8,0,0,16,0.7,0,0.00%
148,Eddie Kennison (FA),0,0,0,0,0,0,0,1,5,0,0,1,0.5,0.5,0.00%
149,Chris Davis (NYJ),0,0,0,0,0,0,0,1,3,0,0,1,0.3,0.3,0.00%
150,Adam Jennings (FA),0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.00%
151,Michael Lewis (FA),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
152,Chad Lucas (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
153,Craphonso Thorpe (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
154,Harry Williams (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
155,Bobby Sippio (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
156,Brandon Middleton (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
157,Roy Hall (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
158,Ryne Robinson (FA),0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.00%
159,Brandon Williams (FA),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.00%
160,Shaun Bodiford (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
161,Sam Aiken (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
162,David Tyree (FA),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
163,Eric Weems (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
164,Greg Camarillo (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
165,Mark Jones (FA),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.00%
166,Micheal Spurlock (FA),0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.00%
167,Justin Jenkins (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
168,Kelley Washington (FA),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
169,Yamon Figurs (FA),0,0,0,0,0,0,0,1,-1,0,0,7,-0.1,0,0.00%
170,Eddie Drummond (FA),0,0,0,0,0,0,0,1,-3,0,0,8,-0.3,0,0.00%
