"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"85","Quez Watkins (PIT)","33","51","354","10.7","53","5","3","3","1","0","1","17","84.5","5.0","0.1%"
"86","Ben Skowronek (HOU)","39","61","376","9.6","32","5","0","1","17","1","0","14","84.3","6.0","0.1%"
"87","Trent Sherfield Sr. (MIN)","30","51","417","13.9","75","5","2","0","0","0","0","16","83.7","5.2","0.1%"
"88","Terrace Marshall Jr. (CAR)","28","47","490","17.5","43","10","1","0","0","0","0","13","83.0","6.4","0.1%"
"89","Nick Westbrook-Ikhine (TEN)","25","50","397","15.9","63","5","3","0","0","0","0","16","82.7","5.2","0.2%"
"90","Jauan Jennings (SF)","35","56","416","11.9","44","3","1","0","0","0","0","16","82.6","5.2","0.7%"
"91","Randall Cobb (FA)","34","50","417","12.3","40","7","1","0","0","0","0","13","81.7","6.3","0.0%"
"92","Hunter Renfrow (FA)","36","50","330","9.2","27","3","2","0","0","0","1","10","79.0","7.9","0.6%"
"93","Van Jefferson (PIT)","24","44","369","15.4","39","7","3","0","0","0","0","10","78.9","7.9","1.3%"
"94","Nelson Agholor (BAL)","31","53","362","11.7","44","6","2","0","0","0","2","15","75.2","5.0","0.8%"
"95","Laviska Shenault Jr. (SEA)","27","32","272","10.1","67","3","1","9","65","1","0","13","72.7","5.6","0.1%"
"96","Jamal Agnew (FA)","23","30","187","8.1","24","1","3","12","86","0","0","15","72.3","4.8","1.0%"
"97","Julio Jones (FA)","24","43","299","12.5","48","3","2","5","45","0","0","10","70.4","7.0","0.6%"
"98","Tyquan Thornton (NE)","22","45","247","11.2","29","4","2","3","16","1","0","12","66.3","5.5","0.1%"
"99","Dante Pettis (CHI)","19","41","245","12.9","51","2","3","2","37","0","0","17","65.2","3.8","0.1%"
"100","Equanimeous St. Brown (NO)","21","38","323","15.4","56","5","1","6","54","0","0","16","64.7","4.0","0.1%"
"101","Tutu Atwell (LAR)","18","35","298","16.6","62","5","1","9","34","1","0","12","63.2","5.3","9.3%"
"102","Trenton Irwin (CIN)","15","23","231","15.4","45","3","4","1","11","0","0","9","63.2","7.0","0.6%"
"103","Shi Smith (FA)","22","41","296","13.5","38","6","2","0","0","0","1","17","61.6","3.6","0.0%"
"104","A.J. Green (FA)","24","47","236","9.8","77","1","2","0","0","0","0","13","61.6","4.7","0.6%"
"105","Jarvis Landry (FA)","25","39","272","10.9","40","2","1","0","0","0","0","9","60.2","6.7","14.0%"
"106","Justin Watson (KC)","15","34","315","21.0","67","6","2","0","0","0","0","17","58.5","3.4","1.7%"
"107","Ray-Ray McCloud III (ATL)","14","25","243","17.4","42","5","1","4","78","1","0","17","58.1","3.4","0.6%"
"108","Braxton Berrios (MIA)","18","32","145","8.1","25","2","0","9","91","2","0","17","57.7","3.4","1.2%"
"109","Kadarius Toney (KC)","16","20","171","10.7","38","4","2","7","82","1","1","9","57.3","6.4","5.9%"
"110","Kendall Hinton (FA)","24","33","311","13.0","35","5","0","2","13","0","0","11","56.4","5.1","0.0%"
"111","Rashod Bateman (BAL)","15","28","285","19.0","75","5","2","0","0","0","1","6","53.5","8.9","9.4%"
"112","Tre'Quan Smith (DET)","19","27","278","14.6","48","4","1","0","0","0","0","10","52.8","5.3","0.0%"
"113","Robbie Chosen (FA)","20","44","282","14.1","75","3","1","0","0","0","1","12","52.2","4.4","0.0%"
"114","Damiere Byrd (WAS)","13","23","268","20.6","75","3","2","0","0","0","0","12","51.8","4.3","0.0%"
"115","Phillip Dorsett II (DEN)","20","40","257","12.9","34","5","1","0","0","0","0","15","51.7","3.4","0.0%"
