"Player","Team","REC","YDS","TDS","FL","FPTS"
"Grant Calcaterra","PHI","3.2","65.3","0.3","0.1","8.2"
"David Wells","TB","3.3","56.4","0.4","0.1","8.0"
"Shane Zylstra","DET","3.9","60.5","0.3","0.1","7.8"
"Cameron Latu","SF","4.2","62.8","0.3","0.1","7.8"
"Brayden Willis","SF","5.4","50.5","0.5","0.0","7.8"
"Kenny Yeboah","NYJ","0.0","57.1","0.3","0.0","7.5"
"Andrew Ogletree","IND","5.2","46.3","0.4","0.0","7.3"
"Matt Sokol","NE","4.5","46.9","0.4","0.0","7.1"
"Armani Rogers","WAS","7.3","46.1","0.4","0.0","7.0"
"Tyler Davis","GB","4.3","42.7","0.4","0.0","6.7"
"Nick Vannett","LAC","2.3","42.0","0.4","0.0","6.5"
"Tommy Sweeney","NYG","3.7","45.3","0.3","0.0","6.0"
"Blake Whiteheart","ARI","0.0","24.2","0.3","0.0","4.2"
"Darrell Daniels","DET","0.0","24.2","0.3","0.0","4.2"
"Tanner Taula","TB","0.0","24.2","0.3","0.0","4.2"
"Nick Muse","MIN","0.0","24.2","0.3","0.0","4.2"
"Feleipe Franks","ATL","3.1","28.9","0.2","0.0","4.2"
"Parker Hesse","ATL","2.9","27.8","0.2","0.0","4.0"
"Sean McKeon","DAL","1.1","18.6","0.3","0.0","3.6"
"Kevin Rader","TEN","0.8","16.2","0.3","0.0","3.3"
"Tyree Jackson","NYG","1.2","15.9","0.2","0.0","3.1"
"Pharaoh Brown","NE","0.0","32.5","0.0","0.1","3.1"
"Tyler Mabry","SEA","0.8","7.8","0.1","0.0","1.3"
"Ben Mason","BAL","0.3","2.0","0.0","0.0","0.2"
""
""
