PickOrder,DraftPos,DraftScore,MinVal,MaxVal,StdDev,count
"('WR', 'QB', 'WR', 'WR', 'TE', 'RB', 'RB', 'FLEX')",1,0.9136773231879294,0.8726215490635861,0.9776664225285893,0.01855255292357631,403
"('RB', 'WR', 'RB', 'TE', 'WR', 'WR', 'QB', 'FLEX')",5,0.9165127314183322,0.8860025407088155,0.9775086378241233,0.014188924495215428,409
"('WR', 'TE', 'WR', 'QB', 'WR', 'RB', 'RB', 'FLEX')",1,0.9197038974840398,0.8647319730775906,0.9774982427096967,0.02194688617620971,413
"('RB', 'TE', 'WR', 'WR', 'QB', 'RB', 'WR', 'FLEX')",3,0.9189224878542348,0.879321282633527,0.9774544454850712,0.018855093030740757,413
"('WR', 'QB', 'TE', 'RB', 'WR', 'RB', 'WR', 'FLEX')",1,0.9129846107339078,0.8818596034521783,0.977365162487968,0.01809553359057918,384
"('QB', 'WR', 'WR', 'TE', 'RB', 'RB', 'WR', 'FLEX')",5,0.9212867481663694,0.8753403583684451,0.9772168037411647,0.01747462605348477,418
"('QB', 'TE', 'WR', 'WR', 'WR', 'RB', 'RB', 'FLEX')",1,0.9091379084952623,0.8517953133603428,0.977187474791017,0.021827240504027023,421
"('RB', 'TE', 'WR', 'WR', 'QB', 'WR', 'RB', 'FLEX')",3,0.9077481612348242,0.8729724234030037,0.9771499451424871,0.016555038588060626,385
"('WR', 'WR', 'TE', 'QB', 'RB', 'RB', 'WR', 'FLEX')",5,0.9248888617321891,0.8751963248055553,0.9771155963962207,0.017730332866657806,398
"('WR', 'QB', 'WR', 'WR', 'TE', 'RB', 'RB', 'FLEX')",3,0.9126568469084715,0.8733771716173417,0.9771017638939844,0.014327004287204013,395
"('TE', 'WR', 'RB', 'WR', 'QB', 'RB', 'WR', 'FLEX')",3,0.9289186235367572,0.8823800721604763,0.9768727917605439,0.017169351117268323,420
"('TE', 'WR', 'QB', 'WR', 'WR', 'RB', 'RB', 'FLEX')",3,0.9258535652510944,0.8728325724411663,0.9768645837911787,0.018265515333692087,387
"('WR', 'WR', 'TE', 'WR', 'RB', 'RB', 'QB', 'FLEX')",5,0.9230899372281772,0.8614328637988402,0.9768437184275002,0.01656203077041274,430
"('WR', 'WR', 'RB', 'TE', 'QB', 'RB', 'WR', 'FLEX')",3,0.9180594923822186,0.8837719864587777,0.9766621494240525,0.01579874212281117,385
"('RB', 'WR', 'WR', 'TE', 'RB', 'WR', 'QB', 'FLEX')",3,0.9163271104537841,0.882733775591542,0.9765932093680194,0.013002892641493758,420
"('WR', 'QB', 'RB', 'WR', 'TE', 'RB', 'WR', 'FLEX')",3,0.914318848472907,0.8891136943519294,0.9765497950190775,0.01333356541008326,388
"('TE', 'WR', 'WR', 'WR', 'QB', 'RB', 'RB', 'FLEX')",3,0.9271171819661079,0.8662970189131578,0.9764675916694894,0.017387689290744992,386
"('WR', 'TE', 'WR', 'WR', 'RB', 'RB', 'QB', 'FLEX')",1,0.916824574554139,0.8809019046782401,0.9763989191479954,0.01790637660982729,418
"('TE', 'QB', 'WR', 'WR', 'WR', 'RB', 'RB', 'FLEX')",3,0.9230788707389316,0.8712156571194755,0.9763411868527467,0.017598679456301485,393
"('WR', 'RB', 'TE', 'WR', 'QB', 'RB', 'WR', 'FLEX')",3,0.9165813182247503,0.8816884256250581,0.9762453314169451,0.01777365028333632,391
"('WR', 'RB', 'TE', 'WR', 'RB', 'QB', 'WR', 'FLEX')",1,0.9185694613594239,0.8818703774826216,0.9761795808357059,0.016345676983920355,407
"('WR', 'TE', 'RB', 'WR', 'WR', 'RB', 'QB', 'FLEX')",5,0.9272711571944999,0.8856288224871858,0.9761152962250103,0.016555720560085703,419
