Player,Team,POS,ADP,FPTS,PosRank,Rank
Greg Dulcich,DEN,TE,159.3,78.6,19,160.0
Marvin Jones Jr.,DET,WR,252.0,68.3,101,243.0
Anthony Richardson,IND,QB,104.8,274.0,14,104.0
Tyler Huntley,BAL,QB,426.0,21.9,59,471.0
Nick Westbrook-Ikhine,TEN,WR,320.0,53.2,122,323.0
Matt Gay,IND,K,,112.5,,
Romeo Doubs,GB,WR,114.5,90.1,51,114.0
Houston Texans,DST,DST,280.0,103.3,27,333.0
Henry Ruggs III,,WR,397.0,,165,447.0
Mason Rudolph,PIT,QB,,3.8,,
Nathan Peterman,CHI,QB,,1.9,,
Patrick Mahomes II,KC,QB,19.0,384.3,1,18.0
Olamide Zaccheaus,PHI,WR,289.0,33.2,127,340.0
George Pickens,PIT,WR,65.8,121.2,31,66.0
Blaine Gabbert,KC,QB,389.0,19.9,49,389.0
Dee Eskridge,SEA,WR,,15.6,,
Jakob Johnson,LV,RB,,4.7,,
Kirk Merritt,NO,WR,463.0,9.5,182,500.0
Austin Hooper,LV,TE,303.0,42.1,46,311.0
Michael Pittman Jr.,IND,WR,74.0,114.8,34,72.0
Samori Toure,GB,WR,344.0,23.5,141,391.0
Dontayvion Wicks,GB,WR,370.0,23.2,153,421.0
KaVontae Turpin,DAL,WR,445.0,10.7,177,485.0
Laviska Shenault Jr.,CAR,WR,323.0,42.6,125,329.0
Greg Ward,PHI,WR,,3.9,,
Isaiah Spiller,LAC,RB,254.3,38.7,77,245.0
Stetson Bennett,LAR,QB,349.0,27.0,52,394.0
Anders Carlson,GB,K,,106.8,,
Darren Waller,NYG,TE,56.0,112.5,4,54.0
Rashee Rice,KC,WR,159.0,65.7,66,158.0
Clyde Edwards-Helaire,KC,RB,196.8,63.3,64,198.0
Demarcus Robinson,LAR,WR,404.0,26.3,168,453.0
Jason Brownlee,NYJ,WR,351.0,15.6,142,397.0
Cooper Kupp,LAR,WR,13.0,183.2,7,13.0
Deebo Samuel,SF,WR,35.0,150.6,17,34.0
James Robinson,,RB,354.5,,99,359.0
Teddy Bridgewater,DET,QB,434.0,19.3,61,477.0
Royce Freeman,LAR,RB,,9.4,,
Collin Johnson,,WR,391.0,,161,442.0
Daniel Jones,NYG,QB,97.3,300.0,12,97.0
Mike Evans,TB,WR,74.0,135.3,35,73.0
Antonio Brown,,WR,461.0,,181,498.0
Ben Mason,BAL,RB,,0.2,,
Elijah Moore,CLE,WR,100.5,83.6,44,99.0
Erik Krommenhoek,,TE,387.0,,72,438.0
Trevon Wesco,TEN,TE,,15.2,,
Robbie Chosen,MIA,WR,,20.6,,
John Metchie III,HOU,WR,224.0,63.9,91,224.0
Dalton Kincaid,BUF,TE,121.8,75.8,11,121.0
Brenton Strange,JAC,TE,407.0,26.4,77,455.0
Latavius Murray,BUF,RB,256.3,45.7,78,248.0
New York Jets,DST,DST,181.0,103.4,6,283.0
Seattle Seahawks,DST,DST,226.0,103.2,19,307.0
Charlie Taumoepeau,,TE,338.0,,61,384.0
Zach Wilson,NYJ,QB,397.5,18.8,55,416.0
Josh Oliver,MIN,TE,309.0,23.0,53,358.0
Mark Andrews,BAL,TE,29.0,129.5,2,28.0
Jahan Dotson,WAS,WR,71.3,122.9,33,70.0
Travis Etienne Jr.,JAC,RB,35.5,176.9,12,35.0
Tavien Feaster,,RB,454.0,,130,494.0
DJ Moore,CHI,WR,41.8,138.7,20,39.0
Braxton Berrios,MIA,WR,298.3,42.3,115,274.0
Blake Grupe,NO,K,,107.7,,
Montrell Washington,KC,WR,,5.9,,
Evan McPherson,CIN,K,,122.0,,
Jamal Agnew,JAC,WR,297.0,32.3,128,348.0
Graham Gano,NYG,K,,116.6,,
Rakim Jarrett,TB,WR,,23.6,,
Kyle Juszczyk,SF,RB,385.0,20.1,116,436.0
Greg Zuerlein,NYJ,K,,117.5,,
Stephen Sullivan,CAR,TE,,13.6,,
JaMycal Hasty,JAC,RB,412.0,35.6,123,459.0
