"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Cordarrelle Patterson","ATL","70.1","300.8","2.3","20.0","161.1","0.8","0.2","64.4"
"Clyde Edwards-Helaire","KC","74.5","322.4","2.2","14.8","125.6","1.0","0.3","63.3"
"Chase Edmonds","TB","73.9","329.7","1.6","20.2","159.1","0.8","0.4","62.4"
"Jerome Ford","CLE","101.5","380.4","1.9","10.7","103.2","0.5","0.8","61.1"
"Ty Chandler","MIN","97.1","346.3","2.1","13.7","116.0","0.6","0.8","61.0"
"Deon Jackson","IND","78.1","287.8","1.6","25.8","177.6","1.0","0.8","60.3"
"Roschon Johnson","CHI","94.9","345.4","1.8","8.9","95.9","0.5","0.7","56.7"
"Keaontay Ingram","ARI","85.5","339.1","1.8","15.1","103.6","0.3","0.4","56.2"
"Deuce Vaughn","DAL","73.3","306.1","1.8","14.2","113.4","0.6","0.8","54.4"
"Latavius Murray","BUF","58.3","279.3","1.6","10.3","70.5","0.2","0.0","45.7"
"Chase Brown","CIN","55.2","233.1","1.4","14.8","122.7","0.5","0.8","45.4"
"Evan Hull","IND","69.9","274.5","1.3","8.7","82.8","0.3","0.3","45.0"
"Matt Breida","NYG","56.5","249.4","1.2","12.2","95.2","0.2","0.8","41.3"
"Isaiah Spiller","LAC","63.8","248.8","1.1","7.9","64.5","0.2","0.3","38.7"
"Zach Evans","LAR","53.7","208.3","1.2","8.9","81.2","0.4","0.5","37.7"
"Sean Tucker","TB","56.0","220.4","0.8","11.7","89.8","0.3","0.3","37.6"
"Zamir White","LV","59.2","228.0","1.7","6.5","31.0","0.2","0.2","36.9"
"Rico Dowdle","DAL","58.0","216.5","1.3","6.8","53.8","0.2","0.2","36.0"
"JaMycal Hasty","JAC","37.5","180.8","1.0","13.2","93.8","0.4","0.2","35.6"
"Trayveon Williams","CIN","58.4","224.9","0.9","10.2","72.4","0.3","0.9","35.3"
"Pierre Strong Jr.","CLE","41.1","200.4","1.1","8.5","74.6","0.2","0.2","35.1"
"Myles Gaskin","MIN","46.3","185.5","0.9","13.7","89.8","0.4","0.4","34.9"
"Ronald Jones II","DAL","59.3","235.9","1.2","2.7","36.0","0.1","0.4","34.2"
"Michael Carter","NYJ","42.4","161.8","0.7","12.6","114.1","0.4","0.2","33.8"
"Craig Reynolds","DET","35.9","154.3","1.0","14.1","97.1","0.4","0.1","33.5"
"Jaleel McLaughlin","DEN","43.6","183.9","1.3","10.4","60.2","0.3","0.2","33.4"
"Ke'Shawn Vaughn","TB","53.1","209.7","1.3","6.9","43.8","0.2","0.6","32.9"
"Jordan Mason","SF","54.3","238.6","0.9","2.8","31.4","0.1","0.2","32.8"
"Raheem Blackshear","CAR","34.4","128.2","1.3","12.9","91.2","0.3","0.4","30.7"
"Emari Demercado","ARI","36.9","167.0","1.1","10.5","59.7","0.2","0.2","30.2"
"Chris Rodriguez Jr.","WAS","40.1","167.6","0.9","10.0","65.6","0.2","0.2","29.5"
"Eric Gray","NYG","51.2","172.5","1.0","6.2","57.1","0.3","0.6","29.3"
"Ameer Abdullah","LV","27.8","95.6","0.4","18.8","137.6","0.6","0.1","29.1"
"Chris Evans","CIN","34.2","128.8","0.5","10.7","88.3","0.5","0.2","27.3"
"Melvin Gordon III","BAL","33.3","153.0","0.6","11.2","78.9","0.3","0.8","26.7"
"Zonovan Knight","DET","53.6","173.5","0.5","9.3","60.9","0.2","0.2","26.7"
"DeeJay Dallas","SEA","20.3","123.5","0.6","11.2","90.2","0.3","0.1","26.4"
"Owen Wright","BAL","0.0","145.0","1.1","6.5","41.2","0.2","0.2","25.9"
"Salvon Ahmed","MIA","36.0","139.1","0.7","6.9","58.8","0.2","0.0","25.3"
"Anthony McFarland Jr.","PIT","21.9","130.3","0.7","10.2","60.8","0.3","0.1","24.7"
"Boston Scott","PHI","30.5","138.7","1.1","3.6","32.2","0.1","0.2","23.7"
"Tyrion Davis-Price","SF","30.6","149.5","0.7","3.7","38.6","0.1","0.2","23.2"
"Mike Boone","HOU","24.0","122.4","0.5","14.0","62.5","0.2","0.0","22.7"
"Malik Davis","DAL","48.5","170.0","0.0","0.0","58.9","0.0","0.2","22.5"
"Dare Ogunbowale","HOU","26.7","99.5","0.7","10.0","60.4","0.2","0.1","21.3"
"Justice Hill","BAL","28.5","126.3","0.4","8.8","51.2","0.2","0.2","21.1"
"Corey Clement","ARI","16.9","106.0","0.6","11.4","53.5","0.2","0.0","20.6"
"Julius Chestnut","TEN","26.3","100.2","0.6","8.0","56.9","0.2","0.1","20.3"
"Kevin Harris","NE","29.2","104.5","0.5","10.1","54.4","0.2","0.1","20.2"
"DeWayne McBride","MIN","59.7","138.2","0.3","2.0","46.2","0.1","0.2","20.2"
"Kyle Juszczyk","SF","9.1","30.6","0.4","13.1","111.2","0.6","0.0","20.1"
"Gary Brightwell","NYG","24.5","115.4","0.8","5.0","30.9","0.1","0.1","20.0"
"Israel Abanikanda","NYJ","50.1","131.0","0.4","1.5","39.2","0.0","0.1","19.3"
"Tyler Badie","DEN","12.2","91.1","0.5","14.7","56.7","0.2","0.1","19.2"
"Brandon Bolden","LV","18.3","78.6","0.5","7.4","61.7","0.4","0.1","19.2"
"D'Ernest Johnson","JAC","30.5","125.9","0.4","4.8","36.1","0.1","0.0","19.1"
"Travis Homer","CHI","18.0","92.6","0.3","7.5","67.3","0.2","0.1","18.8"
"Emanuel Wilson","GB","25.9","101.2","0.5","7.7","36.8","0.1","0.1","17.2"
"Kenny McIntosh","SEA","34.4","100.9","0.5","3.0","33.2","0.0","0.1","16.2"
"Jason Huntley","IND","0.0","78.9","0.5","4.7","42.5","0.2","0.1","15.7"
"Deneric Prince","KC","35.1","113.6","0.0","0.0","42.1","0.0","0.2","15.2"
"Ty Montgomery II","NE","11.6","35.6","0.2","8.7","72.8","0.3","0.0","13.7"
"Keaton Mitchell","BAL","26.6","81.7","0.4","2.9","24.6","0.1","0.1","13.0"
"Ty Johnson","BUF","10.0","49.6","0.2","8.3","54.4","0.3","0.1","13.0"
"Snoop Conner","JAC","12.2","89.9","0.5","2.2","7.6","0.1","0.1","12.9"
"Kene Nwangwu","MIN","27.4","75.9","0.2","3.8","32.2","0.1","0.1","12.5"
"Alec Ingold","MIA","5.2","14.0","0.1","12.0","75.8","0.4","0.0","12.2"
"Elijah Dotson","LAC","17.3","63.7","0.4","4.5","24.4","0.1","0.1","11.3"
"C.J. Ham","MIN","5.5","15.7","0.3","9.6","62.1","0.2","0.0","11.0"
"Kirk Merritt","NO","9.1","38.6","0.3","4.1","31.5","0.2","0.1","9.5"
"Hunter Luepke","DAL","9.0","32.4","0.4","7.4","31.4","0.1","0.0","9.4"
"Royce Freeman","LAR","0.0","57.7","0.3","4.2","14.4","0.1","0.1","9.4"
"Demetric Felton Jr.","CIN","10.3","38.2","0.1","5.8","35.6","0.1","0.1","8.9"
"Andrew Beck","HOU","0.0","0.0","0.0","7.8","64.3","0.4","0.0","8.7"
"Ronnie Rivers","LAR","14.3","45.3","0.1","4.4","28.2","0.1","0.1","8.7"
"Jason Cabinda","DET","9.1","22.4","0.2","4.4","33.3","0.3","0.0","8.2"
"Godwin Igwebuike","ATL","0.0","7.8","0.1","6.6","47.3","0.2","0.0","7.4"
"Patrick Ricard","BAL","5.5","15.9","0.1","7.3","41.1","0.3","0.4","7.3"
"Giovanni Ricci","CAR","4.7","19.7","0.2","4.1","30.0","0.2","0.0","7.0"
"Patrick Taylor Jr.","GB","0.0","38.2","0.3","2.1","6.1","0.1","0.0","6.6"
"Reggie Gilliam","BUF","2.2","9.3","0.1","9.0","32.8","0.3","0.0","6.3"
"Chris Brooks","MIA","15.0","38.4","0.1","1.6","13.2","0.0","0.1","5.9"
"Tony Jones Jr.","NO","17.8","37.3","0.0","0.0","12.3","0.0","0.0","5.0"
"Henry Pearson","GB","0.0","13.1","0.1","3.7","16.4","0.2","0.0","4.9"
"Jakob Johnson","LV","8.3","19.0","0.1","4.6","18.5","0.1","0.1","4.7"
"Adam Prentice","NO","2.4","13.6","0.1","4.3","17.8","0.1","0.0","4.5"
"Michael Burton","DEN","4.7","14.7","0.1","3.6","14.0","0.1","0.0","4.2"
"Jack Colletto","SF","0.0","7.3","0.1","3.6","16.3","0.2","0.0","3.9"
"Keith Smith","ATL","6.3","12.5","0.1","2.7","10.7","0.1","0.0","3.2"
"Nick Bellore","SEA","4.4","9.3","0.0","2.3","15.8","0.1","0.0","3.1"
"Khari Blasingame","CHI","2.8","9.0","0.1","2.6","8.2","0.1","0.0","2.7"
"Darrynton Evans","MIA","6.1","17.1","0.0","0.0","5.9","0.0","0.0","2.3"
"Zander Horvath","PIT","0.0","1.5","0.0","2.9","4.6","0.1","0.0","1.2"
"Nick Bawden","NYJ","0.0","1.1","0.0","2.9","4.6","0.1","0.0","1.2"
"Jake Funk","IND","0.0","3.4","0.0","0.3","3.6","0.0","0.0","1.0"
"La'Mical Perine","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
